Soccer - Burundi disqualification from African Cup confirmed .
CAIRO 1996-08-28
The African Football Confederation ( CAF ) on Wednesday formally confirmed Burundi 's disqualification from the African Nations Cup following the team 's inability to travel for a qualifier against Central African Republic .
The Burundi team were unable to leave their troubled country for a preliminary round first leg match in Bangui earlier this month because of an air ban imposed in a recent set of internationally-sponsored sanctions .
The Central African Republic qualified on a walkover to play in group four with Guinea , Sierra Leone and Tunisia .
" After examining the dossier of the Burundi-Central Africa match , we decided ...
to disqualify the national team of Burundi from the 21st African Cup of Nations ...
as a result of the absence of this team from the match , " CAF said in a statement .
%%TYPE_ANNOTATIONS%%
9	15	Burundi_national_football_team
39	49	Africa_Cup_of_Nations
63	67	Cairo
84	113	Confederation_of_African_Football
117	119	Confederation_of_African_Football
155	161	Burundi_national_football_team
192	210	Africa_Cup_of_Nations
278	301	Central_African_Republic
309	315	Burundi_national_football_team
409	414	Bangui
526	549	Central_African_Republic
602	607	Guinea_national_football_team
611	622	Sierra_Leone_national_football_team
628	634	Tunisia_national_football_team
756	762	Burundi_national_football_team
864	866	Confederation_of_African_Football
